,title,author,subject,desc,certificate_price,enrollment,length_by_week,difficulty
899,Applying Health Coaching in Patient Care  ,DoaneX,Medicine,"For health practitioners, having knowledge of treatment protocols is not enough. They must be able to inspire behavior change in their patients. In order for the treatment to be effective patients must be empowered to implement therapeutic approaches in their lives. ",199.00,0,3,0
900,Software Construction: Object-Oriented Design  ,UBCx,Computer Science,"This course, part of the Software Development MicroMasters program, will dig deep into the principles of object oriented design, and introduce new abstraction techniques and design patterns. You will use these techniques to build an application that makes use of popular online services and APIs – the most complex software design project so far.",125.00,23280,6,1
901,Digital Strategy and Action  ,BabsonX,Business & Management,"What do business luminaries like Amazon, Facebook, Google, and Netflix have in common? They’re digital businesses – meaning that they blur the digital and physical worlds – and their CEOs have built companies from idea to over $10 billion in revenues and kept them growing at an annual rate of at least 20%.",199.00,21469,4,0
902,Introduction to Haptics  ,StanfordOnline,Engineering,"To participate in lab assignments (which is not strictly required to receive a Statement of Accomplishment), the participant will need to acquire/build the components of a Hapkit, and assemble and program the device. Laboratory assignments using Hapkit will give participants hands-on experience in assembling mechanical systems, making circuits, programming Arduino-based micro-controllers, and testing their haptic creations. After the class, we hope that you will continue to use and modify your Hapkit, and let us know about your haptic creations. Please note that you can still participate in the online course without the Hapkit and receive a Statement of Accomplishment, but you will not be able to do most of the laboratories.",129.00,0,5,0
903,Governance for Transboundary Freshwater Security  ,SDGAcademyX,Environmental Studies,"Freshwater scarcity, stress, and crisis are increasing worldwide. More than a billion people live in water-scarce regions, and 3.5 billion could experience water scarcity by 2025. These pressures disproportionally affect vulnerable and marginalized people, including those living in poverty and displacement. Rising pollution levels accelerate the crisis by reducing water availability for human use and impacting aquatic life in rivers, lakes, aquifers, and the oceans. ",49.00,0,6,1
904,Emprendimiento Corporativo  ,TecdeMonterreyX,Business & Management,"Espiritu emprendedor, cultura emprendedora, son términos que se oyen y leen repetidamente. Estos han emergido con fuerza renovada en una economía en que aparecen nuevas y grandes oportunidades de negocio. Por esta razón las capacidades emprendedoras son valoradas en empresas y organizaciones que basan su crecimiento y su ventaja competitiva en la innovación.",99.00,0,4,2
905,Age of Sustainable Development  ,SDGAcademyX,Social Sciences,"Sustainable development is the most urgent challenge facing humanity. Its fundamental question is: How can the world economy continue to develop in a way that is socially inclusive and environmentally sustainable? This course provides a broad overview of the interactions between the economy and our environment and humanity, from the constraints of finite resources, to the activities that drive climate change, to equality for all. ",49.00,10245,14,1
906,Internationalization: Creating Digital Content for the World  ,UWashingtonX,Computer Science,Want to learn how to create a digital product that is truly ready for the world? One that can be released in many markets and for different languages without any alterations to its code? This is the course for you! It shows you everything a developer or PM needs to know to keep in mind when working on software or websites that will be consumed across different markets. ,199.00,0,4,2
907,Monozukuri: Making Things  ,TokyoTechX,Engineering,"This course introduces fundamental topics related to Monozukuri covering engineering topics such as thermodynamics, fluid dynamics, design, and dynamics of machinery. This is a new type of course in which learners not only view video lectures and answer quizzes but also learn while actually engaging in their own hands-on learn-by-doing project.",49.00,0,4,0
908,IoT System Architecture: Design and Evaluation  ,WasedaX,Computer Science,This course was created to help learners understand how to design the architecture of IoT systems. ,99.00,5992,3,0
909,Idealismo filosófico y cosmovisiones: cómo hacer mundos con ideas  ,UAMx,Philosophy & Ethics,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,15470,5,0
910,Introducción al Derecho en la vida cotidiana  ,UAMx,Law,Receive an instructor-signed certificate with the institution's logo to verify your achievement and increase your job prospects,49.00,0,5,0
911,Data Science and Agile Systems for Product Management  ,UMD,Business & Management,"Modern systems today must be designed for agility in order to outpace the competition. Concepts like Agile, DevOps, and Data Science were once considered only for the technology-based companies. Today that means every company. Because there is no greater currency than timely information for optimizing operations and meeting the needs of customers.",199.00,0,4,1
912,Advanced Database Queries  ,NYUx,Computer Science,"This is the 2nd course in the introductory, undergraduate-level offering that makes up the larger Introduction to Databases MicroBachelors Program. We recommend taking them in order, unless you have a background in these areas already and feel comfortable skipping ahead.",166.00,0,5,1
